target_x, target_y, feedback_x, feedback_y, mouse_x, mouse_y, elapsed_time
1362, 748,1738, 447,986, 1049,0:00:00.093860
1362, 748,1738, 448,986, 1048,0:00:00.095796
1362, 748,1738, 449,986, 1047,0:00:00.097774
1362, 748,1738, 449,986, 1047,0:00:00.101765
1362, 748,1737, 450,987, 1046,0:00:00.103765
1362, 748,1737, 450,987, 1046,0:00:00.105761
1362, 748,1736, 451,988, 1045,0:00:00.107768
1362, 748,1736, 452,988, 1044,0:00:00.109774
1362, 748,1735, 452,989, 1044,0:00:00.111755
1362, 748,1735, 452,989, 1044,0:00:00.113759
1362, 748,1735, 453,989, 1043,0:00:00.115763
1362, 748,1734, 454,990, 1042,0:00:00.117746
1362, 748,1734, 455,990, 1041,0:00:00.119763
1362, 748,1733, 456,991, 1040,0:00:00.121744
1362, 748,1732, 456,992, 1040,0:00:00.123768
1362, 748,1731, 457,993, 1039,0:00:00.125743
1362, 748,1731, 459,993, 1037,0:00:00.127767
1362, 748,1729, 460,995, 1036,0:00:00.129765
1362, 748,1728, 462,996, 1034,0:00:00.131761
1362, 748,1727, 463,997, 1033,0:00:00.133765
1362, 748,1727, 465,997, 1031,0:00:00.135762
1362, 748,1725, 466,999, 1030,0:00:00.137762
1362, 748,1724, 469,1000, 1027,0:00:00.139766
1362, 748,1723, 471,1001, 1025,0:00:00.141764
1362, 748,1722, 472,1002, 1024,0:00:00.143767
1362, 748,1721, 475,1003, 1021,0:00:00.145766
1362, 748,1720, 477,1004, 1019,0:00:00.147783
1362, 748,1719, 479,1005, 1017,0:00:00.149768
1362, 748,1717, 483,1007, 1013,0:00:00.151772
1362, 748,1716, 485,1008, 1011,0:00:00.153774
1362, 748,1715, 488,1009, 1008,0:00:00.155764
1362, 748,1714, 491,1010, 1005,0:00:00.157762
1362, 748,1712, 494,1012, 1002,0:00:00.159765
1362, 748,1710, 498,1014, 998,0:00:00.161746
1362, 748,1708, 502,1016, 994,0:00:00.163759
1362, 748,1707, 505,1017, 991,0:00:00.165767
1362, 748,1705, 509,1019, 987,0:00:00.167768
1362, 748,1704, 513,1020, 983,0:00:00.169763
1362, 748,1701, 519,1023, 977,0:00:00.171771
1362, 748,1698, 523,1026, 973,0:00:00.173761
1362, 748,1696, 526,1028, 970,0:00:00.175740
1362, 748,1694, 530,1030, 966,0:00:00.177759
1362, 748,1691, 535,1033, 961,0:00:00.179744
1362, 748,1689, 539,1035, 957,0:00:00.181763
1362, 748,1685, 545,1039, 951,0:00:00.183760
1362, 748,1682, 549,1042, 947,0:00:00.185808
1362, 748,1679, 552,1045, 944,0:00:00.187774
1362, 748,1677, 556,1047, 940,0:00:00.189749
1362, 748,1673, 560,1051, 936,0:00:00.191762
1362, 748,1668, 565,1056, 931,0:00:00.193763
1362, 748,1664, 568,1060, 928,0:00:00.195763
1362, 748,1661, 572,1063, 924,0:00:00.197767
1362, 748,1657, 575,1067, 921,0:00:00.199760
1362, 748,1653, 578,1071, 918,0:00:00.201760
1362, 748,1647, 583,1077, 913,0:00:00.203746
1362, 748,1643, 586,1081, 910,0:00:00.205759
1362, 748,1638, 589,1086, 907,0:00:00.207762
1362, 748,1634, 592,1090, 904,0:00:00.209765
1362, 748,1629, 595,1095, 901,0:00:00.211759
1362, 748,1624, 597,1100, 899,0:00:00.213776
1362, 748,1616, 602,1108, 894,0:00:00.215761
1362, 748,1610, 604,1114, 892,0:00:00.217745
1362, 748,1605, 607,1119, 889,0:00:00.219758
1362, 748,1599, 609,1125, 887,0:00:00.221778
1362, 748,1593, 612,1131, 884,0:00:00.223757
1362, 748,1583, 617,1141, 879,0:00:00.225742
1362, 748,1577, 619,1147, 877,0:00:00.227751
1362, 748,1571, 622,1153, 874,0:00:00.229742
1362, 748,1564, 625,1160, 871,0:00:00.231743
1362, 748,1557, 627,1167, 869,0:00:00.233745
1362, 748,1550, 630,1174, 866,0:00:00.235743
1362, 748,1540, 635,1184, 861,0:00:00.237749
1362, 748,1532, 637,1192, 859,0:00:00.239739
1362, 748,1524, 640,1200, 856,0:00:00.241741
1362, 748,1517, 643,1207, 853,0:00:00.243747
1362, 748,1510, 646,1214, 850,0:00:00.245740
1362, 748,1498, 650,1226, 846,0:00:00.247763
1362, 748,1490, 653,1234, 843,0:00:00.249762
1362, 748,1483, 656,1241, 840,0:00:00.251742
1362, 748,1475, 659,1249, 837,0:00:00.253761
1362, 748,1467, 662,1257, 834,0:00:00.255794
1362, 748,1460, 665,1264, 831,0:00:00.257780
