target_x, target_y, feedback_x, feedback_y, mouse_x, mouse_y, elapsed_time
776, 445,953, 1017,953, 1017,0:00:00.052755
776, 445,953, 1017,953, 1017,0:00:00.062775
776, 445,953, 1016,953, 1016,0:00:00.066713
776, 445,954, 1014,954, 1014,0:00:00.068704
776, 445,954, 1013,954, 1013,0:00:00.070616
776, 445,954, 1012,954, 1012,0:00:00.072649
776, 445,954, 1010,954, 1010,0:00:00.074715
776, 445,955, 1008,955, 1008,0:00:00.076692
776, 445,955, 1005,955, 1005,0:00:00.078707
776, 445,955, 1003,955, 1003,0:00:00.080675
776, 445,956, 1000,956, 1000,0:00:00.082698
776, 445,956, 997,956, 997,0:00:00.084689
776, 445,957, 994,957, 994,0:00:00.086679
776, 445,958, 990,958, 990,0:00:00.088691
776, 445,958, 987,958, 987,0:00:00.090622
776, 445,959, 983,959, 983,0:00:00.092702
776, 445,959, 980,959, 980,0:00:00.094673
