target_x, target_y, feedback_x, feedback_y, mouse_x, mouse_y, elapsed_time
1346, 691,1714, 362,978, 1020,0:00:00.010203
1346, 691,1714, 362,978, 1020,0:00:00.146225
1346, 691,1714, 363,978, 1019,0:00:00.156198
1346, 691,1714, 363,978, 1019,0:00:00.160108
1346, 691,1714, 364,978, 1018,0:00:00.162099
1346, 691,1714, 365,978, 1017,0:00:00.166095
1346, 691,1714, 366,978, 1016,0:00:00.168069
1346, 691,1714, 367,978, 1015,0:00:00.170087
1346, 691,1714, 367,978, 1015,0:00:00.172055
1346, 691,1714, 368,978, 1014,0:00:00.174067
1346, 691,1714, 369,978, 1013,0:00:00.177557
1346, 691,1714, 370,978, 1012,0:00:00.178054
1346, 691,1714, 371,978, 1011,0:00:00.180059
1346, 691,1714, 372,978, 1010,0:00:00.182064
1346, 691,1713, 373,979, 1009,0:00:00.184058
1346, 691,1713, 374,979, 1008,0:00:00.186079
1346, 691,1713, 376,979, 1006,0:00:00.188046
1346, 691,1712, 377,980, 1005,0:00:00.190029
1346, 691,1711, 377,981, 1005,0:00:00.192026
1346, 691,1711, 379,981, 1003,0:00:00.194027
1346, 691,1711, 380,981, 1002,0:00:00.196050
1346, 691,1710, 381,982, 1001,0:00:00.198032
1346, 691,1710, 383,982, 999,0:00:00.200036
1346, 691,1709, 385,983, 997,0:00:00.202024
1346, 691,1708, 386,984, 996,0:00:00.204042
1346, 691,1708, 387,984, 995,0:00:00.206025
1346, 691,1707, 389,985, 993,0:00:00.208024
1346, 691,1706, 391,986, 991,0:00:00.210047
1346, 691,1705, 393,987, 989,0:00:00.212024
1346, 691,1704, 395,988, 987,0:00:00.214030
1346, 691,1704, 396,988, 986,0:00:00.216025
1346, 691,1703, 398,989, 984,0:00:00.218026
1346, 691,1702, 400,990, 982,0:00:00.220051
1346, 691,1700, 402,992, 980,0:00:00.222026
1346, 691,1700, 404,992, 978,0:00:00.224027
1346, 691,1698, 406,994, 976,0:00:00.226022
1346, 691,1697, 408,995, 974,0:00:00.228019
1346, 691,1696, 410,996, 972,0:00:00.230028
1346, 691,1694, 413,998, 969,0:00:00.232018
1346, 691,1693, 416,999, 966,0:00:00.234024
1346, 691,1692, 418,1000, 964,0:00:00.236024
1346, 691,1690, 420,1002, 962,0:00:00.238024
1346, 691,1689, 423,1003, 959,0:00:00.240026
1346, 691,1687, 427,1005, 955,0:00:00.242023
1346, 691,1685, 429,1007, 953,0:00:00.244033
1346, 691,1684, 432,1008, 950,0:00:00.246022
1346, 691,1682, 435,1010, 947,0:00:00.248024
1346, 691,1681, 437,1011, 945,0:00:00.250026
