target_x, target_y, feedback_x, feedback_y, mouse_x, mouse_y, elapsed_time
549, 603,171, 142,927, 1064,0:00:00.079780
549, 603,171, 143,927, 1063,0:00:00.085700
549, 603,171, 143,927, 1063,0:00:00.087651
549, 603,171, 144,927, 1062,0:00:00.089675
549, 603,171, 145,927, 1061,0:00:00.091655
549, 603,171, 146,927, 1060,0:00:00.093656
549, 603,171, 147,927, 1059,0:00:00.095678
549, 603,171, 149,927, 1057,0:00:00.097666
549, 603,171, 150,927, 1056,0:00:00.099658
549, 603,172, 152,926, 1054,0:00:00.101654
549, 603,172, 155,926, 1051,0:00:00.103665
549, 603,173, 157,925, 1049,0:00:00.105656
549, 603,174, 159,924, 1047,0:00:00.107648
549, 603,174, 161,924, 1045,0:00:00.109682
549, 603,175, 163,923, 1043,0:00:00.111655
549, 603,176, 166,922, 1040,0:00:00.113656
549, 603,177, 168,921, 1038,0:00:00.115667
549, 603,177, 170,921, 1036,0:00:00.117653
549, 603,178, 172,920, 1034,0:00:00.119647
549, 603,179, 175,919, 1031,0:00:00.121648
549, 603,179, 177,919, 1029,0:00:00.123665
549, 603,180, 180,918, 1026,0:00:00.125653
549, 603,181, 182,917, 1024,0:00:00.127649
549, 603,182, 185,916, 1021,0:00:00.129683
549, 603,182, 187,916, 1019,0:00:00.131654
549, 603,182, 189,916, 1017,0:00:00.133652
549, 603,183, 192,915, 1014,0:00:00.135645
549, 603,183, 195,915, 1011,0:00:00.137687
549, 603,183, 196,915, 1010,0:00:00.139650
549, 603,184, 199,914, 1007,0:00:00.141649
549, 603,184, 201,914, 1005,0:00:00.143679
549, 603,184, 204,914, 1002,0:00:00.145661
549, 603,185, 206,913, 1000,0:00:00.147650
549, 603,185, 208,913, 998,0:00:00.149637
549, 603,185, 210,913, 996,0:00:00.151661
549, 603,185, 212,913, 994,0:00:00.153650
549, 603,185, 214,913, 992,0:00:00.155646
549, 603,185, 217,913, 989,0:00:00.157673
549, 603,185, 219,913, 987,0:00:00.159655
549, 603,185, 220,913, 986,0:00:00.161659
549, 603,185, 222,913, 984,0:00:00.163635
549, 603,186, 223,912, 983,0:00:00.165653
549, 603,186, 226,912, 980,0:00:00.167649
549, 603,186, 227,912, 979,0:00:00.169661
549, 603,186, 228,912, 978,0:00:00.171685
549, 603,186, 229,912, 977,0:00:00.173657
549, 603,186, 230,912, 976,0:00:00.175650
